iso3,year,month,adj.ac
GTM,2020,7,13542.658422535
GTM,2020,8,11061.5056911465
GTM,2020,9,9284.26695828556
GTM,2020,10,9055.44687095712
GTM,2020,11,8899.80437628725
GTM,2020,12,8763.53713043946
GTM,2021,1,9368.01286848344
GTM,2021,2,7980.68100241376
GTM,2021,3,9262.97019718361
GTM,2021,4,10315.7988005317
GTM,2021,5,10595.5389632769
GTM,2021,6,10587.2124100641
GTM,2021,7,12641.629289297
GTM,2021,8,15036.3139680911
GTM,2021,9,17437.3667702141
GTM,2021,10,14420.1268961174
GTM,2021,11,11702.1583124532
GTM,2021,12,10614.4135375144
HRV,2020,1,4750.47846439406
HRV,2020,2,4387.50509630167
HRV,2020,3,4804.37972284696
HRV,2020,4,4088.75450423826
HRV,2020,5,3952.28110517667
HRV,2020,6,4057.93330592078
HRV,2020,7,4257.76935454669
HRV,2020,8,4206.87853872015
HRV,2020,9,4226.23138417531
HRV,2020,10,4831.18699766263
HRV,2020,11,6131.6982122496
HRV,2020,12,7566.10244650414
HRV,2021,1,5879.10774045703
HRV,2021,2,4573.57912149279
HRV,2021,3,4849.53636224234
HRV,2021,4,5586.37803364634
HRV,2021,5,5196.16732750593
HRV,2021,6,4600.52975071924
HRV,2021,7,4407.14465057839
HRV,2021,8,4441.40635475457
HRV,2021,9,4685.25220748963
HRV,2021,10,5306.98028703809
HRV,2021,11,6741.95793893575
HRV,2021,12,6817.3623590055
HUN,2020,1,11784.4285714286
HUN,2020,2,11154.1428571429
HUN,2020,3,11660
HUN,2020,4,10491.7142857143
HUN,2020,5,9923.85714285714
HUN,2020,6,9669.57142857143
HUN,2020,7,9778.42857142857
HUN,2020,8,9977
HUN,2020,9,10312.4285714286
HUN,2020,10,12589
HUN,2020,11,16719.1428571429
HUN,2020,12,17032.5714285714
HUN,2021,1,13731.8571428571
HUN,2021,2,11917.5714285714
HUN,2021,3,18073.1428571429
HUN,2021,4,15397.2857142857
HUN,2021,5,11076.4285714286
HUN,2021,6,10458.7142857143
HUN,2021,7,10426.8571428571
HUN,2021,8,9880.14285714286
HUN,2021,9,10278.5714285714
HUN,2021,10,12010.5714285714
HUN,2021,11,15863.4285714286
HUN,2021,12,16303.5714285714
IND,2020,1,966240.8435
IND,2020,2,802034.2755
IND,2020,3,695153.9015
IND,2020,4,528469.255
IND,2020,5,695275.57
IND,2020,6,810539.1535
IND,2020,7,881450.269
IND,2020,8,1032294.06725
IND,2020,9,1127833.6625
IND,2020,10,1052044.66775
IND,2020,11,971941.59925
IND,2020,12,1074712.504
IND,2021,1,1093001.07625
IND,2021,2,970970.76175
IND,2021,3,885143.30125
IND,2021,4,1157350.93275
IND,2021,5,2162674.8875
IND,2021,6,1961720.2825
IND,2021,7,1280136.279
IND,2021,8,869526.343
IND,2021,9,806071.2815
IRL,2020,1,2969
